Time,Record No,Azimuth,Pitch,Roll,Accel-X,Accel-Y,Accel-Z
15:01:34,0,1.6723741,0.24578977, -1.5842887,-2.1672015, -0.3290531, 9.068788
15:01:34,1,1.6723741,0.24578977, -1.5842887,-2.1672015, -0.3290531, 9.068788
15:01:34,2,1.6723741,0.24578977, -1.5842887,-2.1672015, -0.3290531, 9.068788
15:01:34,3,1.6723741,0.24578977, -1.5842887,-2.1672015, -0.3290531, 9.068788
15:01:34,4,1.6723741,0.24578977, -1.5842887,-2.1672015, -0.3290531, 9.068788
15:01:34,5,1.6723741,0.24578977, -1.5842887,-2.1672015, -0.3290531, 9.068788
15:01:34,6,-2.9598172,1.5051256, 1.6861708,-2.1672015, -0.3290531, 9.068788
15:01:34,7,-2.9598172,1.5051256, 1.6861708,1.1008838, -2.072032, 9.514109
15:01:34,8,-1.7305872,1.5048031, 2.102778,1.1008838, -2.072032, 9.514109
15:01:34,9,-1.7305872,1.5048031, 2.102778,0.6890812, -2.3425767, 9.612271
15:01:34,10,-1.859002,1.4970378, 2.2250624,0.6890812, -2.3425767, 9.612271
15:01:34,11,-1.859002,1.4970378, 2.2250624,-1.211915, -2.2539914, 9.894787
15:01:34,12,-1.8598156,1.4768072, 2.2230175,-1.211915, -2.2539914, 9.894787
15:01:34,13,-1.8598156,1.4768072, 2.2230175,-1.7194858, -1.7559973, 8.891616
15:01:34,14,-1.9620929,1.4620132, 2.3304381,-1.7194858, -1.7559973, 8.891616
15:01:34,15,-1.9620929,1.4620132, 2.3304381,-0.6037877, -1.7727567, 8.5444565
15:01:34,16,-2.1641684,1.4474913, 2.523003,-0.6037877, -1.7727567, 8.5444565
15:01:34,17,-2.1641684,1.4474913, 2.523003,-0.08903438, -2.4000375, 8.661773
15:01:34,18,-2.3437958,1.4268848, 2.6850739,-0.08903438, -2.4000375, 8.661773
15:01:34,19,-2.3437958,1.4268848, 2.6850739,0.734571, -3.070414, 9.080758
15:01:34,20,-2.6119704,1.365974, 2.912863,0.734571, -3.070414, 9.080758
15:01:34,21,-2.6119704,1.365974, 2.912863,-0.47689506, -2.8764837, 9.573964
15:01:34,22,-2.6715953,1.3222046, 2.9489393,-0.47689506, -2.8764837, 9.573964
15:01:34,23,-2.6715953,1.3222046, 2.9489393,-0.2638111, -3.3146226, 9.200468
15:01:34,24,-2.7254665,1.2789422, 2.9816601,-0.2638111, -3.3146226, 9.200468
15:01:34,25,-2.7254665,1.2789422, 2.9816601,0.071377136, -3.403208, 9.111883
15:01:34,26,-2.7662442,1.258649, 3.0135555,0.071377136, -3.403208, 9.111883
15:01:35,27,-2.7662442,1.258649, 3.0135555,0.07616554, -3.5995326, 8.652196
15:01:35,28,-2.8209684,1.2361027, 3.0526218,0.07616554, -3.5995326, 8.652196
15:01:35,29,-2.8209684,1.2361027, 3.0526218,-0.34042555, -3.925144, 8.886827
15:01:35,30,-2.8442981,1.214295, 3.0672185,-0.34042555, -3.925144, 8.886827
15:01:35,31,-2.8442981,1.214295, 3.0672185,-0.41704002, -3.925144, 8.714445
15:01:35,32,-2.8383312,1.2079653, 3.058323,-0.41704002, -3.925144, 8.714445
15:01:35,33,-2.8383312,1.2079653, 3.058323,-0.3954922, -3.9873934, 8.589947
15:01:35,34,-2.8387165,1.1997601, 3.057562,-0.3954922, -3.9873934, 8.589947
15:01:35,35,-2.8387165,1.1997601, 3.057562,-0.19437926, -4.222025, 8.642619
15:01:35,36,-2.8484685,1.1754073, 3.0645173,-0.19437926, -4.222025, 8.642619
15:01:35,37,-2.8484685,1.1754073, 3.0645173,-0.25662848, -4.1956887, 8.7431755
15:01:35,38,-2.8475595,1.1580794, 3.0632098,-0.25662848, -4.1956887, 8.7431755
15:01:35,39,-2.8475595,1.1580794, 3.0632098,-0.8503905, -4.0759788, 8.855703
15:01:35,40,-2.8230479,1.1527417, 3.0390706,-0.8503905, -4.0759788, 8.855703
15:01:35,41,-2.8230479,1.1527417, 3.0390706,-0.89109194, -3.87726, 8.774301
15:01:35,42,-2.8086362,1.1520091, 3.0242968,-0.89109194, -3.87726, 8.774301
15:01:35,43,-2.8086362,1.1520091, 3.0242968,-0.5702689, -3.9419034, 8.498967
15:01:35,44,-2.7888532,1.1509116, 3.0006812,-0.5702689, -3.9419034, 8.498967
15:01:35,45,-2.7888532,1.1509116, 3.0006812,-0.6756138, -4.1214685, 8.714445
15:01:35,46,-2.7658148,1.1522763, 2.9729998,-0.6756138, -4.1214685, 8.714445
15:01:35,47,-2.7658148,1.1522763, 2.9729998,-0.6109703, -4.114286, 8.738387
15:01:35,48,-2.7482967,1.1537052, 2.9493349,-0.6109703, -4.114286, 8.738387
15:01:35,49,-2.7482967,1.1537052, 2.9493349,-0.5343559, -4.1813235, 8.697686
15:01:35,50,-2.7504852,1.1522474, 2.948295,-0.5343559, -4.1813235, 8.697686
15:01:35,51,-2.7504852,1.1522474, 2.948295,-0.55590373, -4.336947, 8.72881
15:01:35,52,-2.764429,1.1465031, 2.9552088,-0.55590373, -4.336947, 8.72881
15:01:35,53,-2.764429,1.1465031, 2.9552088,-0.87672675, -4.2627263, 8.585158
15:01:35,54,-2.7789342,1.135106, 2.9595606,-0.87672675, -4.2627263, 8.585158
15:01:35,55,-2.7789342,1.135106, 2.9595606,-0.6157588, -4.1789293, 8.6091
15:01:35,56,-2.8103282,1.1211373, 2.986087,-0.6157588, -4.1789293, 8.6091
15:01:36,57,-2.8103282,1.1211373, 2.986087,-0.66364276, -3.9395092, 8.539668
