Time,Record No,Azimuth,Pitch,Roll,Accel-X,Accel-Y,Accel-Z,Start/Quit,Label
15:22:57,0,2.4588923,1.2945352,2.8036916,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:57,1,2.4588923,1.2945352,2.8036916,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:57,2,2.4588923,1.2945352,2.8036916,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:57,3,2.4588923,1.2945352,2.8036916,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:57,4,2.4588923,1.2945352,2.8036916,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:57,5,2.4588923,1.2945352,2.8036916,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:57,6,-2.876966,1.2410866,2.9094517,-1.1616367,-3.9059904,9.207651,,select pause 1
15:22:58,7,-2.876966,1.2410866,2.9094517,-0.5966051,-3.6833296,9.193286,,select pause 1
15:22:58,8,-2.9057477,1.2342781,2.9361467,-0.5966051,-3.6833296,9.193286,,select pause 1
15:22:58,9,-2.9057477,1.2342781,2.9361467,-0.5798457,-3.2858922,8.616283,,select pause 1
15:22:58,10,-2.9735587,1.222053,3.0002089,-0.5798457,-3.2858922,8.616283,,select pause 1
15:22:58,11,-2.9735587,1.222053,3.0002089,0.18629882,-3.982605,8.283489,,select pause 1
15:22:58,12,-3.078294,1.184424,3.0948377,0.18629882,-3.982605,8.283489,,select pause 1
15:22:58,13,-3.078294,1.184424,3.0948377,0.1743278,-4.5811553,8.587553,,select pause 1
15:22:58,14,-3.123944,1.1600454,3.1339507,0.1743278,-4.5811553,8.587553,,select pause 1
15:22:58,15,-3.123944,1.1600454,3.1339507,-0.041150343,-4.348918,8.453477,,select pause 1
15:22:58,16,3.0930746,1.1019076,-3.1037738,-0.041150343,-4.348918,8.453477,,select pause 1
15:22:58,17,3.0930746,1.1019076,-3.1037738,0.24615386,-5.0360537,8.436718,,select pause 1
15:22:58,18,3.0433319,1.0413235,-3.0741618,0.24615386,-5.0360537,8.436718,,select pause 1
15:22:58,19,3.0433319,1.0413235,-3.0741618,0.5885247,-5.46701,8.135049,,select pause 1
15:22:58,20,3.0162477,0.9993622,-3.0629137,0.5885247,-5.46701,8.135049,,select pause 1
15:22:58,21,3.0162477,0.9993622,-3.0629137,1.256507,-6.0296474,8.017733,,select pause 1
15:22:58,22,3.0100217,0.9852387,-3.0637362,1.256507,-6.0296474,8.017733,,select pause 1
15:22:58,23,3.0100217,0.9852387,-3.0637362,1.3019968,-6.206818,7.524527,,select pause 1
15:22:58,24,3.0090163,0.96826583,-3.0739005,1.3019968,-6.206818,7.524527,,select pause 1
15:22:58,25,3.0090163,0.96826583,-3.0739005,-0.09382278,-5.54123,7.5293155,,select pause 1
15:22:58,26,3.0327237,0.9640575,-3.0924675,-0.09382278,-5.54123,7.5293155,,select pause 1
15:22:58,27,3.0327237,0.9640575,-3.0924675,-0.13452421,-5.186888,7.5771995,,select pause 1
15:22:58,28,3.0432189,0.9513357,-3.100583,-0.13452421,-5.186888,7.5771995,,select pause 1
15:22:58,29,3.0432189,0.9513357,-3.100583,-0.120159,-5.476587,7.8956285,,select pause 1
15:22:58,30,3.0470994,0.940854,-3.1038866,-0.120159,-5.476587,7.8956285,,select pause 1
15:22:58,31,3.0470994,0.940854,-3.1038866,-0.09861118,-5.335329,7.7687354,,select pause 1
15:22:58,32,3.0639725,0.9437839,-3.115758,-0.09861118,-5.335329,7.7687354,,select pause 1
15:22:58,33,3.0639725,0.9437839,-3.115758,-0.33803135,-5.811775,7.924359,,select pause 1
15:22:58,34,3.0757635,0.94345874,-3.1299589,-0.33803135,-5.811775,7.924359,,select pause 1
15:22:59,35,3.0757635,0.94345874,-3.1299589,0.473603,-6.0320415,7.558046,,select pause 1
