Time,Record Num,Azimuth,Pitch,Roll,AccelX,AccelY,AccelZ,AccelMag,InstantSpeed,StartQuit,Label
7/27/17 15:01,40,-2.8230479,1.1527417,3.0390706,-0.376861732,-0.03172961,0.082261122,0.387038015,0.013346138,,no label provided
7/27/17 15:01,41,-2.8230479,1.1527417,3.0390706,-0.334050537,0.133591352,0.000687298,0.359773378,0.012405979,,no label provided
7/27/17 15:01,42,-2.8086362,1.1520091,3.0242968,-0.26724043,0.106873082,0.000549838,0.287818702,0.009924783,,no label provided
7/27/17 15:01,43,-2.8086362,1.1520091,3.0242968,0.042866088,0.033783746,-0.219827329,0.22650143,0.007810394,,no label provided
7/27/17 15:01,44,-2.7888532,1.1509116,3.0006812,0.03429287,0.027026996,-0.175861863,0.181201144,0.006248315,,no label provided
7/27/17 15:01,45,-2.7888532,1.1509116,3.0006812,-0.056841624,-0.122030483,0.031692909,0.138299853,0.00476896,,no label provided
7/27/17 15:01,46,-2.7658148,1.1522763,2.9729998,-0.045473299,-0.097624386,0.025354327,0.110639883,0.003815168,,no label provided
7/27/17 15:01,47,-2.7658148,1.1522763,2.9729998,0.015336161,-0.072353509,0.039437062,0.083818315,0.002890287,,no label provided
7/27/17 15:01,48,-2.7482967,1.1537052,2.9493349,0.012268929,-0.057882807,0.03154965,0.067054652,0.002312229,,no label provided
7/27/17 15:01,49,-2.7482967,1.1537052,2.9493349,0.071106663,-0.099936246,-0.00732108,0.122869886,0.004236893,,no label provided
7/27/17 15:01,50,-2.7504852,1.1522474,2.948295,0.05688533,-0.079948997,-0.005856864,0.098295909,0.003389514,,no label provided
7/27/17 15:01,51,-2.7504852,1.1522474,2.948295,0.02827,-0.188457997,0.020213709,0.191635601,0.006608124,,no label provided
7/27/17 15:01,52,-2.764429,1.1465031,2.9552088,0.022616,-0.150766398,0.016170967,0.153308481,0.005286499,,no label provided
7/27/17 15:01,53,-2.764429,1.1465031,2.9552088,-0.238565616,-0.061236558,-0.101984827,0.26657902,0.00919238,,no label provided
7/27/17 15:01,54,-2.7789342,1.135106,2.9595606,-0.190852493,-0.048989247,-0.081587861,0.213263216,0.007353904,,no label provided
7/27/17 15:01,55,-2.7789342,1.135106,2.9595606,0.056092366,0.027846203,-0.046116689,0.07777219,0.0026818,,no label provided
7/27/17 15:01,56,-2.8103282,1.1211373,2.986087,0.044873893,0.022276962,-0.036893351,0.062217752,0.00214544,,no label provided
7/27/17 15:01,57,-2.8103282,1.1211373,2.986087,-0.002408054,0.20935765,-0.085060281,0.225990433,0.007792774,,no label provided
7/27/17 15:01,58,-2.8135068,1.1203556,2.9913545,-0.001926443,0.16748612,-0.068048225,0.180792346,0.006234219,,no label provided
